divide_id,gw_Coeff,gw_Zmax,gw_Expon,bexp_soil_layers_stag=1,bexp_soil_layers_stag=2,bexp_soil_layers_stag=3,bexp_soil_layers_stag=4,ISLTYP,IVGTYP,dksat_soil_layers_stag=1,dksat_soil_layers_stag=2,dksat_soil_layers_stag=3,dksat_soil_layers_stag=4,psisat_soil_layers_stag=1,psisat_soil_layers_stag=2,psisat_soil_layers_stag=3,psisat_soil_layers_stag=4,cwpvt,mfsno,mp,quartz_soil_layers_stag=1,quartz_soil_layers_stag=2,quartz_soil_layers_stag=3,quartz_soil_layers_stag=4,refkdt,slope,smcmax_soil_layers_stag=1,smcmax_soil_layers_stag=2,smcmax_soil_layers_stag=3,smcmax_soil_layers_stag=4,smcwlt_soil_layers_stag=1,smcwlt_soil_layers_stag=2,smcwlt_soil_layers_stag=3,smcwlt_soil_layers_stag=4,vcmx25
cat-2625770,0.005,13.100178719,7.0,12.130180358886719,12.130180358886719,12.130180358886719,12.130180358886719,12,8,5.914613487412619e-07,5.914613487412619e-07,5.914613487412619e-07,5.914613487412619e-07,0.16014703434611036,0.16014703434611036,0.16014703434611036,0.16014703434611036,0.20497123008794155,2.0,12.574974673757458,0.2553459439041437,0.2553459439041437,0.2553459439041437,0.2553459439041437,2.0071982129752044,0.0637418994433568,0.49748485880626764,0.49748485880626764,0.49748485880626764,0.49748485880626764,0.1361289162561411,0.1361289162561411,0.1361289162561411,0.1361289162561411,55.8592584709436
cat-2628666,0.005,13.100178719,7.0,12.130180358886719,12.130180358886719,12.130180358886719,12.130180358886719,12,8,1.3290773954588777e-06,1.3290773954588777e-06,1.3290773954588777e-06,1.3290773954588777e-06,0.1547987018752812,0.1547987018752812,0.1547987018752812,0.1547987018752812,0.20370032919853742,2.0,12.575654524874757,0.25,0.25,0.25,0.25,2.029098909943144,0.08272461777994711,0.5009355409980198,0.5009355409980198,0.5009355409980198,0.5009355409980198,0.1379999965429306,0.1379999965429306,0.1379999965429306,0.1379999965429306,55.42729318716905
cat-2628667,0.005,13.100178719,7.0,12.130180358886719,12.130180358886719,12.130180358886719,12.130180358886719,12,8,1.2237465200489075e-06,1.2237465200489075e-06,1.2237465200489075e-06,1.2237465200489075e-06,0.15049444720660718,0.15049444720660718,0.15049444720660718,0.15049444720660718,0.2053610235452652,2.0,12.574766159057617,0.2646314080665043,0.2646314080665043,0.2646314080665043,0.2646314080665043,2.000481128692627,0.05791977792978286,0.4961830972850721,0.4961830972850721,0.4961830972850721,0.4961830972850721,0.13287900393767907,0.13287900393767907,0.13287900393767907,0.13287900393767907,55.991744995117195
cat-2625771,0.005,13.100178719,7.0,8.580395698547363,8.580395698547363,8.580395698547363,8.580395698547363,9,8,4.008778290236115e-07,4.008778290236115e-07,4.008778290236115e-07,4.008778290236115e-07,0.05340226036942519,0.05340226036942519,0.05340226036942519,0.05340226036942519,0.20750521042479583,2.0,12.505888567986299,0.30424090188930963,0.30424090188930963,0.30424090188930963,0.30424090188930963,2.002266633697451,0.058835838313283796,0.49528926797965006,0.49528926797965006,0.49528926797965006,0.49528926797965006,0.1190156816899247,0.1190156816899247,0.1190156816899247,0.1190156816899247,55.79429803390576
cat-2629670,0.005,13.100178719,7.0,8.580395698547363,8.580395698547363,8.580395698547363,8.580395698547363,12,8,3.7273357890287967e-07,3.7273357890287967e-07,3.7273357890287967e-07,3.7273357890287967e-07,0.035376873985379746,0.035376873985379746,0.035376873985379746,0.035376873985379746,0.21863652487994098,2.0,12.148317997786949,0.298414990201627,0.298414990201627,0.298414990201627,0.298414990201627,2.011535889964089,0.0635914667923098,0.4973809797813532,0.4973809797813532,0.4973809797813532,0.4973809797813532,0.12105475069380078,0.12105475069380078,0.12105475069380078,0.12105475069380078,54.76927347357523
cat-2625772,0.005,13.100178719,7.0,8.580395698547363,8.580395698547363,8.580395698547363,8.580395698547363,9,8,1.7738864595249637e-07,1.7738864595249637e-07,1.7738864595249637e-07,1.7738864595249637e-07,0.06355513626390373,0.06355513626390373,0.06355513626390373,0.06355513626390373,0.2053610235452652,2.0,10.814958486859096,0.33619027288289877,0.33619027288289877,0.33619027288289877,0.33619027288289877,2.000481128692627,0.05791977792978287,0.49390492545082804,0.49390492545082804,0.49390492545082804,0.49390492545082804,0.10783340231825125,0.10783340231825125,0.10783340231825125,0.10783340231825125,61.86867434291964
cat-2629671,0.005,13.100178719,7.0,8.580395698547363,8.580395698547363,8.580395698547363,8.580395698547363,9,8,1.551918694711471e-06,1.551918694711471e-06,1.551918694711471e-06,1.551918694711471e-06,0.024479477649146344,0.024479477649146344,0.024479477649146344,0.024479477649146344,0.2053610235452652,2.0,12.574766159057615,0.3297707044792144,0.3297707044792144,0.3297707044792144,0.3297707044792144,2.000481128692627,0.057919777929782874,0.49410930096688466,0.49410930096688466,0.49410930096688466,0.49410930096688466,0.11008025116388175,0.11008025116388175,0.11008025116388175,0.11008025116388175,55.99174499511719
cat-2625773,0.005,13.100178719,7.0,8.580395698547363,8.580395698547363,8.580395698547363,8.580395698547363,9,8,2.7406213849374666e-07,2.7406213849374666e-07,2.7406213849374666e-07,2.7406213849374666e-07,0.09418752828326112,0.09418752828326112,0.09418752828326112,0.09418752828326112,0.2053610235452652,2.0,12.15446014210883,0.35618137602098054,0.35618137602098054,0.35618137602098054,0.35618137602098054,2.0004811286926265,0.05791977792978287,0.48512439272615915,0.48512439272615915,0.48512439272615915,0.48512439272615915,0.09472839621151241,0.09472839621151241,0.09472839621151241,0.09472839621151241,57.3953692690007
cat-2629916,0.005,13.100178719,7.0,8.580395698547363,8.580395698547363,8.580395698547363,8.580395698547363,12,8,6.099485326301038e-07,6.099485326301038e-07,6.099485326301038e-07,6.099485326301038e-07,0.014054935577793986,0.014054935577793986,0.014054935577793986,0.014054935577793986,0.20467099232691435,2.0,11.63210653063775,0.3071623434231064,0.3071623434231064,0.3071623434231064,0.3071623434231064,2.059146087152586,0.06694426267841522,0.4928267061351863,0.4928267061351863,0.4928267061351863,0.4928267061351863,0.11608475886191631,0.11608475886191631,0.11608475886191631,0.11608475886191631,56.426732965532615
cat-2625774,0.005,13.100178719,7.0,5.513718128204346,5.513718128204346,5.513718128204346,5.513718128204346,6,8,3.2560200040621276e-07,3.2560200040621276e-07,3.2560200040621276e-07,3.2560200040621276e-07,0.06912170890094094,0.06912170890094094,0.06912170890094094,0.06912170890094094,0.20536102354526523,2.0,12.17459931103548,0.38648395204312175,0.38648395204312175,0.38648395204312175,0.38648395204312175,2.000481128692627,0.05791977792978287,0.47020729349287455,0.47020729349287455,0.47020729349287455,0.47020729349287455,0.07365812145048453,0.07365812145048453,0.07365812145048453,0.07365812145048453,57.32811392355859
